open,high,low,close,volume,tradingDate
10941.0,11061.0,9249.0,9904.0,1378500,2015-07-23
9904.0,9808.0,8998.0,9432.0,1012300,2015-07-24
9526.0,9400.0,8376.0,8772.0,1633400,2015-07-27
8772.0,9310.0,8825.0,9055.0,1018600,2015-07-28
9055.0,9664.0,8995.0,9243.0,1194100,2015-07-29
9243.0,9424.0,9139.0,9243.0,975200,2015-07-30
9243.0,9472.0,8525.0,8960.0,1075000,2015-07-31
9055.0,8714.0,8169.0,8489.0,938700,2015-08-03
8583.0,8996.0,8434.0,8583.0,651900,2015-08-04
8583.0,9129.0,8644.0,8866.0,644900,2015-08-05
8772.0,8916.0,8540.0,8677.0,591400,2015-08-06
8772.0,9069.0,8683.0,8866.0,503800,2015-08-07
8866.0,8731.0,8363.0,8583.0,321600,2015-08-10
8583.0,8814.0,8431.0,8677.0,370300,2015-08-11
8583.0,8822.0,8535.0,8677.0,384100,2015-08-12
8583.0,8710.0,8423.0,8583.0,469300,2015-08-13
8489.0,8150.0,7425.0,7734.0,456300,2015-08-14
7734.0,7748.0,6826.0,6980.0,337900,2015-08-17
6602.0,6598.0,6316.0,6319.0,1239400,2015-08-18
5754.0,6277.0,5715.0,5754.0,753100,2015-08-19
5659.0,5634.0,5164.0,5188.0,73800,2015-08-20
4716.0,4716.0,4716.0,4716.0,20800,2015-08-21
4244.0,4244.0,4244.0,4244.0,136800,2015-08-24
3867.0,3867.0,3867.0,3867.0,7900,2015-08-25
3490.0,3584.0,3490.0,3490.0,1482200,2015-08-26
3490.0,3479.0,3197.0,3207.0,1009300,2015-08-27
3207.0,3555.0,2979.0,3490.0,72900,2015-08-28
3773.0,3773.0,3773.0,3773.0,535200,2015-08-31
4150.0,4150.0,4150.0,4150.0,315300,2015-09-01
4527.0,4569.0,4284.0,4527.0,1150200,2015-09-03
4716.0,4680.0,4118.0,4150.0,545600,2015-09-04
4150.0,4140.0,3763.0,3773.0,595150,2015-09-07
3584.0,3857.0,3568.0,3678.0,389800,2015-09-08
3678.0,3629.0,3356.0,3490.0,367500,2015-09-09
3490.0,3517.0,3332.0,3396.0,382200,2015-09-10
3490.0,3818.0,3623.0,3678.0,525680,2015-09-11
3773.0,3829.0,3555.0,3678.0,288260,2015-09-14
3678.0,3897.0,3702.0,3773.0,302300,2015-09-15
3773.0,3641.0,3368.0,3490.0,191170,2015-09-16
3584.0,3629.0,3443.0,3490.0,42310,2015-09-17
3584.0,3638.0,3452.0,3490.0,244700,2015-09-18
3490.0,3462.0,3368.0,3396.0,182300,2015-09-21
3490.0,3683.0,3489.0,3584.0,81220,2015-09-22
3490.0,3420.0,3327.0,3396.0,46800,2015-09-23
3396.0,3577.0,3389.0,3490.0,95100,2015-09-24
3490.0,3476.0,3382.0,3396.0,72700,2015-09-25
3490.0,3452.0,3266.0,3301.0,84100,2015-09-28
3301.0,3374.0,3187.0,3301.0,330410,2015-09-29
3301.0,3439.0,3248.0,3301.0,427810,2015-09-30
3207.0,3244.0,2974.0,3113.0,452404,2015-10-01
3207.0,3484.0,3290.0,3396.0,554100,2015-10-02
3396.0,3510.0,3140.0,3301.0,447900,2015-10-05
3301.0,3396.0,3207.0,3301.0,341200,2015-10-06
3490.0,3627.0,3333.0,3396.0,938400,2015-10-07
3301.0,3637.0,3342.0,3490.0,508800,2015-10-08
3490.0,3576.0,3286.0,3396.0,674350,2015-10-09
3396.0,3496.0,3212.0,3301.0,313800,2015-10-12
3301.0,3538.0,3243.0,3301.0,812810,2015-10-13
3490.0,3463.0,3089.0,3207.0,423600,2015-10-14
3207.0,3394.0,3297.0,3301.0,503500,2015-10-15
3301.0,3633.0,3339.0,3396.0,674400,2015-10-16
3396.0,3634.0,3331.0,3396.0,1007200,2015-10-19
